Provider,Zone,Sub-region,Flavor,Slug,CPU,RAM(in GB),Hourly,Monthly,1-Year no up.,1-Year par. up.,1-Year par. fee,1-Year all up.,2-Year no up.,2-Year par. up.,2-Year par. fee,2-Year all up.,3-Year no up.,3-Year par. up.,3-Year par. fee,3-Year all up.,currency,rate
Amazon Web Services,EU (Frankfurt),eu-central,t3.medium,t3.medium,2,4.0,0.048,,0.03,0.014,126.0,247.0,,,,,0.021,0.01,252.0,474.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t3.large,t3.large,2,8.0,0.096,,0.06,0.029,252.0,494.0,,,,,0.042,0.019,505.0,949.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t3.xlarge,t3.xlarge,4,16.0,0.192,,0.121,0.058,505.0,989.0,,,,,0.083,0.038,1009.0,1897.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t3.2xlarge,t3.2xlarge,8,32.0,0.384,,0.242,0.115,1009.0,1978.0,,,,,0.166,0.077,2018.0,3794.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t3a.nano,t3a.nano,2,512.0,0.005,,0.003,0.002,14.0,28.0,,,,,0.002,0.001,28.0,53.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t3a.micro,t3a.micro,2,1.0,0.011,,0.007,0.003,28.0,56.0,,,,,0.005,0.002,57.0,107.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t3a.small,t3a.small,2,2.0,0.022,,0.014,0.006,57.0,111.0,,,,,0.009,0.004,114.0,213.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t3a.medium,t3a.medium,2,4.0,0.043,,0.027,0.013,114.0,223.0,,,,,0.019,0.009,227.0,427.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t3a.large,t3a.large,2,8.0,0.086,,0.054,0.026,227.0,445.0,,,,,0.037,0.017,454.0,854.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t3a.xlarge,t3a.xlarge,4,16.0,0.173,,0.109,0.052,454.0,890.0,,,,,0.075,0.035,908.0,1707.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t3a.2xlarge,t3a.2xlarge,8,32.0,0.346,,0.218,0.104,908.0,1780.0,,,,,0.149,0.069,1816.0,3415.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t4g.nano,t4g.nano,2,512.0,0.005,,0.003,0.001,13.0,25.0,,,,,0.002,0.001,25.0,47.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t4g.micro,t4g.micro,2,1.0,0.01,,0.006,0.003,25.0,49.0,,,,,0.004,0.002,50.0,95.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t4g.small,t4g.small,2,2.0,0.019,,0.012,0.006,50.0,99.0,,,,,0.008,0.004,101.0,190.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t4g.medium,t4g.medium,2,4.0,0.038,,0.024,0.012,101.0,198.0,,,,,0.017,0.008,202.0,379.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t4g.large,t4g.large,2,8.0,0.077,,0.048,0.023,202.0,395.0,,,,,0.033,0.015,403.0,759.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t4g.xlarge,t4g.xlarge,4,16.0,0.154,,0.097,0.046,403.0,791.0,,,,,0.066,0.031,807.0,1517.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,t4g.2xlarge,t4g.2xlarge,8,32.0,0.307,,0.193,0.092,807.0,1582.0,,,,,0.133,0.061,1614.0,3034.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5.large,c5.large,2,4.0,0.097,,0.061,0.029,255.0,500.0,,,,,0.042,0.019,510.0,958.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5.xlarge,c5.xlarge,4,8.0,0.194,,0.122,0.058,510.0,999.0,,,,,0.084,0.039,1020.0,1917.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5.2xlarge,c5.2xlarge,8,16.0,0.388,,0.244,0.116,1020.0,1999.0,,,,,0.168,0.078,2039.0,3834.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5a.large,c5a.large,2,4.0,0.087,,0.055,0.026,229.0,448.0,,,,,0.038,0.017,457.0,860.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5a.xlarge,c5a.xlarge,4,8.0,0.174,,0.11,0.052,457.0,896.0,,,,,0.075,0.035,915.0,1719.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5a.2xlarge,c5a.2xlarge,8,16.0,0.348,,0.219,0.104,915.0,1793.0,,,,,0.15,0.07,1829.0,3439.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5n.large,c5n.large,2,5.2,0.123,,0.077,0.037,323.0,634.0,,,,,0.053,0.024,643.0,1209.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5n.xlarge,c5n.xlarge,4,10.5,0.246,,0.155,0.074,646.0,1267.0,,,,,0.106,0.049,1286.0,2417.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5n.2xlarge,c5n.2xlarge,8,21.0,0.492,,0.31,0.148,1293.0,2534.0,,,,,0.211,0.098,2572.0,4835.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5ad.large,c5ad.large,2,4.0,0.1,,0.063,0.03,263.0,515.0,,,,,0.043,0.02,526.0,988.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5ad.xlarge,c5ad.xlarge,4,8.0,0.2,,0.126,0.06,526.0,1030.0,,,,,0.086,0.04,1051.0,1976.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5ad.2xlarge,c5ad.2xlarge,8,16.0,0.4,,0.252,0.12,1051.0,2060.0,,,,,0.173,0.08,2102.0,3953.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5d.large,c5d.large,2,4.0,0.111,,0.07,0.033,292.0,572.0,,,,,0.048,0.022,583.0,1097.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5d.xlarge,c5d.xlarge,4,8.0,0.222,,0.14,0.067,583.0,1143.0,,,,,0.096,0.044,1167.0,2194.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c5d.2xlarge,c5d.2xlarge,8,16.0,0.444,,0.28,0.133,1167.0,2287.0,,,,,0.192,0.089,2334.0,4387.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6a.large,c6a.large,2,4.0,0.087,,0.058,0.027,240.0,471.0,,,,,0.04,0.018,482.0,906.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6a.xlarge,c6a.xlarge,4,8.0,0.175,,0.115,0.055,480.0,941.0,,,,,0.079,0.037,964.0,1812.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6a.2xlarge,c6a.2xlarge,8,16.0,0.349,,0.23,0.11,960.0,1882.0,,,,,0.158,0.073,1927.0,3623.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6g.medium,c6g.medium,1,2.0,0.039,,0.024,0.012,102.0,200.0,,,,,0.017,0.008,204.0,383.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6g.large,c6g.large,2,4.0,0.078,,0.049,0.023,204.0,400.0,,,,,0.034,0.016,408.0,767.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6g.xlarge,c6g.xlarge,4,8.0,0.155,,0.098,0.047,408.0,799.0,,,,,0.067,0.031,816.0,1534.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6g.2xlarge,c6g.2xlarge,8,16.0,0.31,,0.196,0.093,816.0,1599.0,,,,,0.134,0.062,1631.0,3067.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6gd.medium,c6gd.medium,1,2.0,0.044,,0.028,0.013,116.0,227.0,,,,,0.019,0.009,237.0,445.0,USD,1.0
Amazon Web Services,EU (Frankfurt),eu-central,c6gd.large,c6gd.large,2,4.0,0.089,,0.056,0.026,232.0,455.0,,,,,0.039,0.018,473.0,889.0,USD,1.0
